"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
5612,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabane","Akabane","6",90000000,"3LDK","65",,"","","","2021","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5613,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabane","Akabane","5",13000000,"1K","15",,"","","","1990","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
5614,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Akabane","Akabaneiwabuchi","1",83000000,"","65",1300000,"Irregular Shaped","7.0","","","","","House","North","National Road",30.0,"Commercial Zone",80,500,"2nd quarter 2023","",""
5615,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabane","Akabaneiwabuchi","3",29000000,"1K","25",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
5616,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabane","Akabaneiwabuchi","3",24000000,"1K","25",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
5617,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabane","Akabaneiwabuchi","3",42000000,"1LDK","35",,"","","","2020","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
5618,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","9",31000000,"","40",,"Rectangular Shaped","5.0","55","2010","W","House","House","Northwest","Ward Road",6.0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
5619,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","1",54000000,"3LDK","70",,"","","","2002","SRC","","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Done",""
5620,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","11",82000000,"4LDK","95",,"","","","2004","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Not yet",""
5621,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","8",47000000,"","60",,"Irregular Shaped","2.0","75","2023","W","House","House","West","Ward Road",7.5,"Quasi-industrial Zone",60,200,"1st quarter 2023","",""
5622,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","13",55000000,"","45",,"Semi-square Shaped","7.0","","","","","House","East","Ward Road",6.0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
5623,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","0",38000000,"1LDK","45",,"","","","1999","SRC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Done",""
5624,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","6",37000000,"3LDK","60",,"","","","1996","SRC","House","House","","",,"Industrial Zone",60,200,"1st quarter 2023","",""
5625,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","1",46000000,"2LDK","55",,"","","","2002","SRC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Done",""
5626,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Kitaakabane","0",65000000,"3LDK","105",,"","","","1999","SRC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5627,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Shimurasakaue","12",57000000,"3LDK","70",,"","","","2004","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Done",""
5628,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanekita","Shimurasakaue","12",36000000,"1LDK","50",,"","","","1996","SRC","House","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Done",""
5629,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanedai","Kitaakabane","5",24000000,"2LDK","45",,"","","","1971","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","Not yet",""
5630,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanedai","Kitaakabane","10",40000000,"","45",,"Rectangular Shaped","5.4","60","2023","W","House","House","West","Private Road",4.0,"Category I Exclusively Medium-high Residential Zone",60,150,"1st quarter 2023","","Dealings including private road"
5631,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanedai","Kitaakabane","5",25000000,"2LDK","45",,"","","","1971","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,150,"1st quarter 2023","Not yet",""
5632,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","4",69000000,"","45",,"Rectangular Shaped","6.0","80","2023","W","House","House","West","Private Road",4.3,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","",""
5633,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","10",38000000,"","105",360000,"Trapezoidal Shaped","6.6","","","","","House","Southeast","Private Road",1.0,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","",""
5634,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","2",160000000,"","170",,"Semi-rectangular Shaped","15.0","200","1981","W","Housing Complex","Other","South","Tokyo Metropolitan Road",20.0,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","",""
5635,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","8",60000000,"","100",600000,"Semi-trapezoidal Shaped","9.0","","","","","Other","South","Ward Road",6.0,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","",""
5636,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","8",49000000,"2LDK","55",,"","","","2018","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","",""
5637,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","11",24000000,"1K","25",,"","","","2008","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","",""
5638,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","7",20000000,"2DK","40",,"","","","1988","RC","House","Other","","",,"Category I Exclusively Medium-high Residential Zone",60,150,"2nd quarter 2023","Not yet",""
5639,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","7",10000000,"","45",,"Trapezoidal Shaped","","","","W","House","","No facing road","",,"Category I Exclusively Medium-high Residential Zone",60,150,"1st quarter 2023","","Dealings including private road"
5640,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","10",65000000,"","165",390000,"Semi-trapezoidal Shaped","11.9","","","","","","Northeast","Ward Road",3.6,"Category I Exclusively Medium-high Residential Zone",60,150,"1st quarter 2023","","Dealings including private road"
5641,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","8",67000000,"","65",,"Rectangular Shaped","4.5","85","2023","W","House","House","South","Private Road",4.0,"Category I Exclusively Medium-high Residential Zone",60,150,"1st quarter 2023","","Dealings including private road"
5642,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","5",37000000,"2LDK","55",,"","","","2018","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
5643,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","4",64000000,"2LDK","65",,"","","","1999","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5644,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Akabane","4",54000000,"2LDK","65",,"","","","1999","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5645,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Motohasunuma","13",9000000,"1R","15",,"","","","1988","RC","House","Other","","",,"Category I Residential Zone",60,200,"2nd quarter 2023","",""
5646,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Motohasunuma","9",7700000,"1K","15",,"","","","1985","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Done",""
5647,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Motohasunuma","9",5200000,"1K","15",,"","","","1985","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Not yet",""
5648,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Akabanenishi","Motohasunuma","10",35000000,"","85",420000,"Semi-rectangular Shaped","5.5","","","","","House","East","Ward Road",4.5,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
5649,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabanenishi","Motohasunuma","13",6000000,"1R","15",,"","","","1988","RC","House","House","","",,"Category I Residential Zone",60,200,"1st quarter 2023","Not yet",""
5650,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabaneminami","Akabane","4",22000000,"1DK","25",,"","","","2007","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
5651,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabaneminami","Akabane","3",70000000,"3LDK","65",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
5652,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabaneminami","Akabane","3",61000000,"1LDK","55",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
5653,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Akabaneminami","Akabane","4",21000000,"1K","25",,"","","","2007","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
5654,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","4",26000000,"1K","25",,"","","","2011","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","",""
5655,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","4",24000000,"","25",,"","","","2012","RC","House","","","",,"Commercial Zone",80,500,"2nd quarter 2023","",""
5656,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","5",120000000,"","270",420000,"Semi-rectangular Shaped","6.0","","","","","Warehouse","South","National Road",28.0,"Commercial Zone",80,500,"1st quarter 2023","",""
5657,"Residential Land(Land Only)","Commercial Area","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","5",120000000,"","270",420000,"Semi-rectangular Shaped","5.5","","","","","Other","South","National Road",30.0,"Commercial Zone",80,500,"1st quarter 2023","","Dealings including private road"
5658,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","3",25000000,"1DK","25",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5659,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","3",25000000,"1K","25",,"","","","2012","RC","House","Other","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5660,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Iwabuchimachi","Akabaneiwabuchi","2",36000000,"1LDK","30",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5661,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","14",54000000,"","65",,"Semi-rectangular Shaped","5.0","105","2023","W","House","House","Northwest","Private Road",4.5,"Industrial Zone",60,200,"2nd quarter 2023","",""
5662,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","13",51000000,"","65",,"Rectangular Shaped","5.0","95","2023","W","House","House","West","Private Road",4.5,"Industrial Zone",60,200,"2nd quarter 2023","",""
5663,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","13",40000000,"3LDK","60",,"","","","2013","RC","House","House","","",,"Industrial Zone",60,200,"2nd quarter 2023","Done",""
5664,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","14",46000000,"3LDK","90",,"","","","2002","SRC","House","House","","",,"Industrial Zone",60,200,"2nd quarter 2023","Not yet",""
5665,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","14",47000000,"4LDK","90",,"","","","2002","SRC","House","House","","",,"Industrial Zone",60,200,"1st quarter 2023","Not yet",""
5666,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","11",44000000,"2LDK","70",,"","","","2013","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Not yet",""
5667,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Ukimafunado","8",32000000,"3LDK","55",,"","","","1996","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
5668,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","9",40000000,"3LDK","70",,"","","","1997","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Not yet",""
5669,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","5",57000000,"3LDK","70",,"","","","2016","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Not yet",""
5670,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","7",36000000,"3LDK","60",,"","","","2000","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Not yet",""
5671,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","6",41000000,"3LDK","65",,"","","","1995","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Done",""
5672,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","5",31000000,"2K","25",,"","","","2021","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
5673,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","11",64000000,"3LDK","75",,"","","","2016","RC","House","House","","",,"Industrial Zone",60,200,"2nd quarter 2023","Not yet",""
5674,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","11",61000000,"3LDK","65",,"","","","2012","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Done",""
5675,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","6",40000000,"3LDK","60",,"","","","1995","RC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Done",""
5676,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","4",50000000,"","115",430000,"Trapezoidal Shaped","9.0","","","","","House","West","Ward Road",7.8,"Quasi-industrial Zone",60,200,"1st quarter 2023","",""
5677,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","7",52000000,"","70",,"Irregular Shaped","2.5","90","2019","W","House","House","East","Private Road",4.5,"Quasi-industrial Zone",60,200,"1st quarter 2023","",""
5678,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","8",44000000,"","60",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","",""
5679,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","11",47000000,"3LDK","65",,"","","","2012","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Not yet",""
5680,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ukima","Kitaakabane","9",54000000,"3LDK","70",,"","","","1997","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Done",""
5681,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Oji","3",44000000,"3LDK","55",,"","","","1984","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
5682,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Oji","3",38000000,"2LDK","55",,"","","","1984","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Done",""
5683,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Oji","5",28000000,"1K","25",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
5684,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Oji","3",31000000,"","25",,"","","","1978","SRC","Shop","Shop","","",,"Commercial Zone",80,600,"1st quarter 2023","",""
5685,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Oji","3",38000000,"3LDK","55",,"","","","1984","SRC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
5686,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Oji","7",25000000,"1K","25",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5687,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Oji","Ojikamiya","8",14000000,"","65",,"Semi-rectangular Shaped","8.2","90","","W","House","House","Southeast","Private Road",3.3,"Category I Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
5688,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Oji","Ojikamiya","3",66000000,"","80",,"Semi-rectangular Shaped","8.9","85","2023","W","House","House","South","Private Road",4.0,"Category I Residential Zone",60,200,"1st quarter 2023","","Dealings including private road"
5689,"Residential Land(Land and Building)","Commercial Area","13117","Tokyo","Kita Ward","Oji","Ojikamiya","2",590000000,"","130",,"Semi-shaped","10.0","690","2012","RC","Housing Complex","Other","East","National Road",27.0,"Commercial Zone",80,500,"1st quarter 2023","",""
5690,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Ojikamiya","5",58000000,"3LDK","60",,"","","","2016","RC","House","","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
5691,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Ojikamiya","5",74000000,"3LDK","65",,"","","","2018","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Not yet",""
5692,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Ojikamiya","1",52000000,"3LDK","55",,"","","","1999","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
5693,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Ojikamiya","5",72000000,"3LDK","65",,"","","","2018","RC","House","","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Not yet",""
5694,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Oji","Ojikamiya","6",25000000,"1K","25",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
5695,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ojihoncho","Oji","9",49000000,"2LDK","50",,"","","","2020","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
5696,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ojihoncho","Oji","7",14000000,"1LDK","40",,"","","","2010","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
5697,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Ojihoncho","Oji","9",170000000,"","120",1400000,"Rectangular Shaped","6.5","","","","","Other","Southwest","Ward Road",5.8,"Category I Residential Zone",60,200,"1st quarter 2023","",""
5698,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Ojihoncho","Oji","9",24000000,"1K","25",,"","","","2015","RC","House","Other","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5699,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamijujo","Itabashihoncho","12",12000000,"1K","20",,"","","","1992","SRC","","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Done",""
5700,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Kamijujo","Jujo (Tokyo)","1",71000000,"","80",910000,"Semi-rectangular Shaped","4.0","","","","","Other","North","Tokyo Metropolitan Road",18.0,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","",""
5701,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Kamijujo","Jujo (Tokyo)","3",54000000,"","300",180000,"Irregular Shaped","","","","","","Other","West","Private Road",3.0,"Category I Residential Zone",60,300,"1st quarter 2023","","Dealings including private road"
5702,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamijujo","Jujo (Tokyo)","5",26000000,"","40",,"Semi-trapezoidal Shaped","4.4","35","2020","W","Housing Complex","Other","North","Private Road",4.0,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","","Dealings including private road"
5703,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamijujo","Jujo (Tokyo)","12",56000000,"","75",,"Irregular Shaped","2.5","90","2024","","","House","West","Private Road",2.4,"Category I Residential Zone",60,200,"1st quarter 2023","","Dealings including private road"
5704,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamijujo","Jujo (Tokyo)","16",11000000,"1K","15",,"","","","1988","RC","House","","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","",""
5705,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamijujo","Jujo (Tokyo)","3",65000000,"2LDK","75",,"","","","2001","SRC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
5706,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamijujo","Higashijujo","16",62000000,"","65",,"Semi-rectangular Shaped","4.6","100","2022","W","House","House","North","Ward Road",4.0,"Category I Exclusively Medium-high Residential Zone",60,150,"1st quarter 2023","","Dealings including private road"
5707,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kaminakazato","Kaminakazato","7",65000000,"","60",,"Rectangular Shaped","7.0","90","2023","W","House","House","Southwest","Ward Road",3.6,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
5708,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kaminakazato","Kaminakazato","9",63000000,"","55",,"Irregular Shaped","6.3","85","2023","W","House","House","North","Private Road",4.0,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
5709,"Residential Land(Land Only)","Residential Area","13117","Tokyo","Kita Ward","Kaminakazato","Tabata","8",54000000,"","90",610000,"Semi-rectangular Shaped","","","","","","House","Southwest","Ward Road",4.0,"Commercial Zone",80,500,"1st quarter 2023","","Dealings including private road"
5710,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Akabane","10",230000000,"","280",,"Rectangular Shaped","13.4","660","1973","RC","Housing Complex, Office, Warehouse","House","South","Ward Road",6.0,"Category I Residential Zone",60,200,"2nd quarter 2023","",""
5711,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Akabane","13",30000000,"1K","25",,"","","","2022","RC","House","Other","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
5712,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","6",50000000,"","95",,"Semi-square Shaped","9.5","120","","","House","House","South","Ward Road",4.0,"Quasi-industrial Zone",60,300,"2nd quarter 2023","","Dealings including private road"
5713,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","9",48000000,"1LDK+S","50",,"","","","2015","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Done",""
5714,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","11",49000000,"","45",,"Semi-rectangular Shaped","5.0","70","2022","W","House","House","South","Private Road",4.0,"Category I Residential Zone",60,200,"1st quarter 2023","",""
5715,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","7",33000000,"","110",,"Semi-rectangular Shaped","8.6","100","2007","S","House","Other","West","Private Road",2.0,"Quasi-industrial Zone",60,400,"1st quarter 2023","","Dealings including private road"
5716,"Residential Land(Land and Building)","Residential Area","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","8",45000000,"","125",,"Rectangular Shaped","9.5","115","1968","","House","House","South","Private Road",4.0,"Category I Residential Zone",60,200,"1st quarter 2023","","Dealings including private road"
5717,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","6",26000000,"1K","25",,"","","","2013","RC","House","","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5718,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","6",23000000,"1K","25",,"","","","2013","RC","House","Other","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5719,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","7",35000000,"2LDK","55",,"","","","2005","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5720,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","3",37000000,"3DK","55",,"","","","1996","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5721,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","3",34000000,"1DK","30",,"","","","1996","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
5722,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","7",25000000,"1K","20",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
5723,"Pre-owned Condominiums, etc.","","13117","Tokyo","Kita Ward","Kamiya","Ojikamiya","9",46000000,"2LDK","55",,"","","","2015","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
